Opening Name,Num Games,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations,DeltaPerf
Alekhine Defense,34710,2208.0,2208.0,36.0,27.0,37.0,8.0,27,0.0
Anderssen Opening,1308,2124.0,2126.0,36.0,26.0,39.0,1.0,1,-2.0
Benko Gambit,24543,2245.0,2229.0,40.0,25.0,35.0,11.0,17,16.0
Benoni Defense,56840,2264.0,2266.0,38.0,26.0,36.0,11.0,40,-2.0
Bird Opening,16315,2083.0,2093.0,39.0,23.0,38.0,4.0,5,-10.0
Bishop's Opening,11318,2172.0,2145.0,41.0,26.0,33.0,6.0,11,27.0
Blackmar-Diemer Gambit,1019,2072.0,2116.0,37.0,20.0,43.0,8.0,6,-44.0
Blumenfeld Countergambit,2507,2316.0,2334.0,38.0,25.0,38.0,10.0,4,-18.0
Bogo-Indian Defense,22797,2274.0,2299.0,28.0,39.0,33.0,8.0,6,-25.0
Budapest Defense,7777,2162.0,2160.0,38.0,24.0,38.0,7.0,6,2.0
Caro-Kann Defense,129053,2210.0,2207.0,35.0,30.0,35.0,9.0,62,3.0
Catalan Opening,36178,2303.0,2302.0,31.0,36.0,33.0,11.0,13,1.0
Center Game,2932,2109.0,2080.0,44.0,21.0,35.0,6.0,4,29.0
Clemenz Opening,183,2128.0,2117.0,37.0,22.0,42.0,1.0,1,11.0
Colle System,4968,2109.0,2091.0,38.0,30.0,32.0,7.0,1,18.0
Czech Defense,7257,2154.0,2202.0,33.0,25.0,41.0,6.0,1,-48.0
Danish Gambit,856,2066.0,2056.0,43.0,22.0,34.0,6.0,2,10.0
Dutch Defense,53855,2237.0,2240.0,36.0,29.0,36.0,8.0,43,-3.0
Elephant Gambit,873,1950.0,1995.0,31.0,16.0,53.0,5.0,3,-45.0
English Defense,2267,2352.0,2390.0,32.0,31.0,37.0,6.0,2,-38.0
English Opening,259136,2255.0,2263.0,32.0,33.0,35.0,7.0,103,-8.0
Englund Gambit,114,2030.0,1960.0,38.0,29.0,33.0,3.0,1,70.0
Englund Gambit Complex,449,1866.0,1942.0,31.0,21.0,48.0,4.0,2,-76.0
Four Knights Game,23230,2221.0,2222.0,31.0,36.0,33.0,10.0,24,-1.0
French Defense,228091,2201.0,2203.0,36.0,28.0,37.0,9.0,118,-2.0
Grob Opening,797,2046.0,2055.0,45.0,19.0,36.0,4.0,4,-9.0
Gruenfeld Defense,55125,2320.0,2313.0,33.0,35.0,32.0,13.0,44,7.0
Gunderam Defense,613,2084.0,2171.0,32.0,22.0,46.0,4.0,1,-87.0
Horwitz Defense,10256,2158.0,2195.0,32.0,29.0,39.0,2.0,1,-37.0
Hungarian Opening,18777,2230.0,2245.0,29.0,30.0,41.0,3.0,8,-15.0
Indian Game,114554,2216.0,2217.0,36.0,29.0,35.0,4.0,26,-1.0
Indian Game Defense,492,2370.0,2387.0,39.0,38.0,23.0,8.0,1,-17.0
Italian Game,59421,2072.0,2071.0,38.0,22.0,39.0,11.0,57,1.0
Kadas Opening,121,2040.0,2085.0,34.0,19.0,47.0,1.0,1,-45.0
Kangaroo Defense,3251,2336.0,2350.0,29.0,35.0,36.0,4.0,2,-14.0
King Pawn Game,2111,2074.0,2095.0,34.0,26.0,40.0,4.0,7,-21.0
King's Gambit,10139,2173.0,2171.0,41.0,20.0,39.0,7.0,33,2.0
King's Indian Attack,52457,2296.0,2298.0,35.0,34.0,31.0,6.0,12,-2.0
King's Indian Defense,190429,2287.0,2284.0,36.0,30.0,34.0,13.0,92,3.0
King's Knight Opening,710,2099.0,2114.0,40.0,22.0,38.0,4.0,2,-15.0
King's Pawn Opening,7040,2120.0,2087.0,39.0,24.0,38.0,1.0,1,33.0
Latvian Gambit,1004,2131.0,2099.0,47.0,17.0,36.0,6.0,6,32.0
Lion Defense,3430,2263.0,2226.0,45.0,23.0,32.0,7.0,4,37.0
London System,166,2213.0,2189.0,32.0,32.0,36.0,9.0,1,24.0
Mexican Defense,2356,2250.0,2260.0,37.0,28.0,36.0,4.0,1,-10.0
Mieses Opening,1247,2145.0,2135.0,39.0,23.0,38.0,2.0,2,10.0
Mikenas Defense,1696,2214.0,2230.0,37.0,24.0,39.0,4.0,1,-16.0
Modern Defense,76511,2244.0,2254.0,35.0,28.0,37.0,7.0,23,-10.0
Neo-Gruenfeld Defense,15621,2339.0,2335.0,32.0,40.0,28.0,12.0,12,4.0
Neo-Grünfeld Defense,1582,2118.0,2180.0,22.0,23.0,55.0,6.0,2,-62.0
Nimzo-Indian Defense,95740,2358.0,2360.0,33.0,36.0,31.0,11.0,66,-2.0
Nimzo-Larsen Attack,16134,2178.0,2186.0,34.0,28.0,37.0,2.0,7,-8.0
Nimzowitsch Defense,9318,2163.0,2177.0,37.0,23.0,40.0,5.0,16,-14.0
Nimzowitsch-Larsen Attack,4058,2237.0,2220.0,36.0,32.0,31.0,3.0,1,17.0
Old Indian,1681,2216.0,2252.0,32.0,30.0,39.0,6.0,3,-36.0
Old Indian Defense,12330,2333.0,2310.0,38.0,31.0,30.0,7.0,8,23.0
Owen Defense,4594,2033.0,2102.0,32.0,22.0,47.0,2.0,1,-69.0
Philidor Defense,25012,2175.0,2171.0,40.0,24.0,36.0,9.0,21,4.0
Pirc Defense,55602,2253.0,2225.0,40.0,28.0,32.0,9.0,23,28.0
Polish Defense,1067,2093.0,2168.0,31.0,22.0,47.0,2.0,1,-75.0
Polish Opening,6215,2104.0,2103.0,40.0,24.0,37.0,4.0,11,1.0
Ponziani Opening,2715,2213.0,2213.0,40.0,23.0,37.0,7.0,5,0.0
Portuguese Opening,102,2169.0,2163.0,40.0,24.0,35.0,3.0,1,6.0
Pterodactyl Defense,2301,2227.0,2213.0,34.0,26.0,40.0,8.0,8,14.0
Queen Pawn Game,86260,2138.0,2141.0,35.0,28.0,36.0,5.0,34,-3.0
Queen Pawn Opening,1232,2140.0,2107.0,47.0,24.0,29.0,1.0,1,33.0
Queen's Gambit Accepted,31896,2307.0,2313.0,31.0,36.0,33.0,9.0,37,-6.0
Queen's Gambit Declined,117686,2311.0,2301.0,33.0,39.0,28.0,12.0,74,10.0
Queen's Gambit Refused,15355,2176.0,2191.0,33.0,25.0,42.0,7.0,21,-15.0
Queen's Indian Defense,57417,2356.0,2353.0,33.0,38.0,29.0,11.0,41,3.0
Rat Defense,16146,2123.0,2155.0,33.0,25.0,42.0,4.0,6,-32.0
Reti Opening,12895,2281.0,2280.0,35.0,32.0,33.0,7.0,14,1.0
Rubinstein Opening,2210,2208.0,2216.0,34.0,30.0,36.0,12.0,2,-8.0
Russian Game,27537,2274.0,2260.0,35.0,37.0,28.0,10.0,26,14.0
Saragossa Opening,799,2056.0,2066.0,32.0,26.0,41.0,1.0,1,-10.0
Scandinavian Defense,51575,2119.0,2129.0,34.0,26.0,40.0,7.0,22,-10.0
Scotch Game,35086,2123.0,2120.0,40.0,25.0,35.0,9.0,26,3.0
Semi-Slav Defense,69212,2314.0,2312.0,36.0,32.0,33.0,14.0,40,2.0
Sicilian Defense,737822,2222.0,2221.0,36.0,28.0,36.0,11.0,264,1.0
Slav Defense,99658,2284.0,2289.0,32.0,36.0,33.0,10.0,37,-5.0
Slav Indian,1514,2259.0,2300.0,26.0,36.0,38.0,4.0,1,-41.0
Spanish Game,153274,2284.0,2291.0,32.0,34.0,34.0,13.0,128,-7.0
St. George Defense,1283,2093.0,2171.0,30.0,20.0,50.0,7.0,3,-78.0
System,412,1907.0,1888.0,31.0,15.0,54.0,3.0,1,19.0
Tarrasch Defense,16913,2259.0,2278.0,28.0,35.0,37.0,15.0,17,-19.0
Three Knights Opening,2551,2244.0,2244.0,39.0,27.0,34.0,7.0,3,0.0
Torre Attack,18747,2325.0,2299.0,37.0,35.0,28.0,7.0,5,26.0
Trompowsky Attack,26990,2283.0,2264.0,40.0,27.0,33.0,5.0,6,19.0
Van Geet Opening,4480,2169.0,2154.0,38.0,26.0,36.0,5.0,5,15.0
Van't Kruijs Opening,1713,2082.0,2102.0,32.0,21.0,47.0,1.0,1,-20.0
Vienna Game,10903,2173.0,2149.0,43.0,24.0,32.0,7.0,21,24.0
Wade Defense,5081,2295.0,2337.0,29.0,35.0,36.0,4.0,1,-42.0
Zukertort Opening,75902,2193.0,2208.0,34.0,28.0,38.0,3.0,23,-15.0
